Name,Party,PartyLetter,BornDate,Age,Profession,Education,Spokesperson_Areas,ImageURL
Nadja Natalie Isaksen,Løsgænger,,05-01-1995,31,Cand.jur.,"Cand.jur., København Universitet, 2017-2020. , Ba.jur., Aalborg Universitet, 2014-2017. , Hhx, Handelsgymnasiet Aalborg, 2011-2014.",,https://www.dr.dk/parliament-member-images/nadja_nathalie_isaksen_500.jpg
Nanna Bonde,Socialistisk Folkeparti,F,18-05-1993,33,Sociolog,"Kandidat i sociologi, Københavns Universitet, 2022. , Bachelor i sociologi, Københavns Universitet, 2020. , Student, Tønder Gymnasium, 2013.","Energiordfører, Forsyningsordfører, Klimaordfører, Undervisningsordfører",https://www.dr.dk/parliament-member-images/nanna_bonde_500.jpg
Nick Zimmermann,Dansk Folkeparti,O,30-08-1994,31,MF,"Lager- og logistikoperatør, Aarhus Tech, 2012-2015.","Beskæftigelsesordfører, Erhvervsuddannelsesordfører, Tilbagetræknings- og seniorordfører",https://www.dr.dk/parliament-member-images/nick_zimmermann_500.jpg
Nicolai Wammen,Socialdemokratiet,A,07-02-1971,55,Justitsminister,"Cand.scient.pol., Aarhus Universitet, 2001. , Student, Marselisborg Gymnasium, 1991. , High schoolophold, i Massachusetts, USA, 1987-1988. , 10. klasse, Brobjergskolen i Aarhus, 1987.",,"https://www.dr.dk/parliament-member-images/nicolai_wammen_pdf,-d-,jpg.jpg"
Ole Birk Olesen,Liberal Alliance,I,21-12-1972,53,Fhv. minister,"Journalistuddannelsen, Danmarks Journalisthøjskole, 1995-1999. , Matematisk studentereksamen, Aabenraa Statsskole, 1989-1992. , Efterskole, 9.-10. klasse, Vojens Ungdomsskole, 1987-1989. , Folkeskole, 0.-8. klasse, Agerskov Skole, 1978-1987.","Finansordfører, Fødevareordfører, Landdistrikts- og øordfører, Miljøordfører, Naturordfører, Ordfører for ny vækst på landet",https://www.dr.dk/parliament-member-images/ole_birk_olesen_500.jpg
Peder Hvelplund,Enhedslisten,Ø,08-09-1967,58,Pædagog,"Fritidspædagog, Hjørring Seminarium, 1990-1993. , Gymnasium, Ringkøbing Gymnasium, 1983-1986. , Folkeskole, Tim Skole, 1981-1983. , Folkeskole, Hover-Thorsted Friskole, 1974-1981.","Indfødsretsordfører, Integrationsordfører, Psykiatriordfører, Sundhedsordfører, Udlændingeordfører",https://www.dr.dk/parliament-member-images/peder_hvelplund_500.jpg
Pelle Dragsted,Enhedslisten,Ø,13-04-1975,51,MF,"Master i retorik og formidling, Aarhus Universitet, 2011-2016. , Kandidatstuderende i historie og spansk, Københavns Universitet, 2002-2005. , Bachelor i historie, Københavns Universitet, 1997-2001.",Politisk ordfører,https://www.dr.dk/parliament-member-images/pelle_dragsted_500.jpg
Pernille Christensen,Moderaterne,M,18-06-1974,52,,"Cand.scient.pol., Aarhus Universitet, 2002. , Matematisk studentereksamen, Rødkilde Amtsgymnasium, 1994.","Ældreordfører, Beskæftigelsesordfører, Socialordfører",https://www.dr.dk/parliament-member-images/pernille_christensen_500.jpg
Pernille Vermund,Liberal Alliance,I,03-12-1975,50,Bygningsarkitekt,"Enkeltfag i erhvervsøkonomi og markedsføring, Niels Brock, 2004-2005. , Cand.arch., Kunstakademiets Arkitektskole, København, 1995-2001. , Matematisk studentereksamen, Helsingør Gymnasium, 1991-1994.","Beskæftigelsesordfører, Havordfører, Kirkeordfører, Udlændingeordfører",https://www.dr.dk/parliament-member-images/pernille_vermund_500.jpg
Peter Hummelgaard,Socialdemokratiet,A,17-01-1983,43,Finansminister,"Cand.jur., Københavns Universitet, 2004-2012. , Student, Tårnby Gymnasium, 2000-2003. , Folkeskole, Skottegårdsskolen, 1989-1999.",,https://www.dr.dk/parliament-member-images/peter_hummelgaard_500.jpg
